year,DonorCode,donornamee,col,colname,Row,rowname,RecipientCode,RecipientNameE,regionid,Regionnname,incomegrid,incomegrname,Amount,Defl,NatCur,src,share,odaGNI,currencyname
2019,5,Germany,528,Total ODA,160,Other Social Infrastructure,,,,,,,563.2435968,575.9914467,,dac5,,,
2019,12,United Kingdom,528,Total ODA,200,Economic Infrastructure,,,,,,,547.4954705,553.7047098,,dac5,,,
2019,301,Canada,201,"Grants, Total",,,93,Moldova,10010,Europe,10018,LMICs,0.119065561,0.119351172,,dac2a,,,
2019,302,United States,201,"Grants, Total",,,248,Kenya,10003,SouthSahara,10018,LMICs,688.516217,676.462873,,dac2a,,,
2019,12,United Kingdom,201,"Grants, Total",,,229,Cameroon,10003,SouthSahara,10018,LMICs,14.29819593,14.64076164,,dac2a,,,
2018,3,Denmark,201,"Grants, Total",,,769,Viet Nam,10008,FarEastAsia,10018,LMICs,9.409870123,9.409870123,,dac2a,,,
2018,6,Italy,201,"Grants, Total",,,253,Malawi,10003,SouthSahara,10016,LDCs,0.82141883,0.82141883,,dac2a,,,
2018,20001,Total DAC Countries,201,"Grants, Total",,,225,Angola,10003,SouthSahara,10016,LDCs,100.6732223,100.6732223,,dac2a,,,
2018,22,Luxembourg,201,"Grants, Total",,,431,Brazil,10006,SouthAmerica,10019,UMICs,1.448734289,1.448734289,,dac2a,,,
2018,61,Slovenia,201,"Grants, Total",,,285,Uganda,10003,SouthSahara,10016,LDCs,0.059010976,0.059010976,,dac2a,,,
2018,302,United States,201,"Grants, Total",,,764,Thailand,10008,FarEastAsia,10019,UMICs,42.20815,42.20815,,dac2a,,,
2019,18,Finland,201,"Grants, Total",,,389,"Caribbean & Central America, regional",10005,CaribbeanCentralAmerica,10024,UnallocatedIncome,0.127168924,0.131340117,,dac2a,,,
2019,21,Ireland,201,"Grants, Total",,,389,"Caribbean & Central America, regional",10005,CaribbeanCentralAmerica,10024,UnallocatedIncome,0.423604612,0.442413481,,dac2a,,,
2019,40,Greece,201,"Grants, Total",,,655,Maldives,10009,SouthCentralAsia,10019,UMICs,0.002471734,0.002585665,,dac2a,,,
2019,701,Japan,201,"Grants, Total",,,428,Bolivia,10006,SouthAmerica,10018,LMICs,21.52931312,21.136927,,dac2a,,,
2019,801,Australia,201,"Grants, Total",,,229,Cameroon,10003,SouthSahara,10018,LMICs,0.285504548,0.297206711,,dac2a,,,
2019,820,New Zealand,201,"Grants, Total",,,229,Cameroon,10003,SouthSahara,10018,LMICs,0.028467187,0.029281844,,dac2a,,,
2019,918,EU Institutions,201,"Grants, Total",,,133,Libya,10002,NorthSahara,10019,UMICs,84.86118885,88.07466523,,dac2a,,,
2018,6,Italy,204,ODA Gross Loans,,,139,Tunisia,10002,NorthSahara,10018,LMICs,18.85315392,18.85315392,,dac2a,,,
2018,50,Spain,204,ODA Gross Loans,,,498,"America, regional",10004,America,10024,UnallocatedIncome,4.90430036,4.90430036,,dac2a,,,
2018,20001,Total DAC Countries,201,"Grants, Total",,,268,Sao Tome and Principe,10003,SouthSahara,10016,LDCs,19.41066127,19.41066127,,dac2a,,,
2018,20001,Total DAC Countries,201,"Grants, Total",,,730,China (People's Republic of),10008,FarEastAsia,10019,UMICs,645.096225,645.096225,,dac2a,,,
2018,4,France,201,"Grants, Total",,,230,Cabo Verde,10003,SouthSahara,10018,LMICs,1.266944183,1.266944183,,dac2a,,,
2018,4,France,201,"Grants, Total",,,555,Lebanon,10011,MiddleEast,10019,UMICs,47.56318889,47.56318889,,dac2a,,,
2018,4,France,201,"Grants, Total",,,679,"South Asia, regional",10009,SouthCentralAsia,10024,UnallocatedIncome,2.963531217,2.963531217,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,245,Equatorial Guinea,10003,SouthSahara,10019,UMICs,0.02093918,0.02093918,,dac2a,,,
2018,11,Switzerland,201,"Grants, Total",,,611,Azerbaijan,10009,SouthCentralAsia,10019,UMICs,5.073342878,5.073342878,,dac2a,,,
2018,12,United Kingdom,201,"Grants, Total",,,440,Ecuador,10006,SouthAmerica,10019,UMICs,0.543102535,0.543102535,,dac2a,,,
2019,302,United States,201,"Grants, Total",,,288,Zambia,10003,SouthSahara,10016,LDCs,324.829502,319.1429522,,dac2a,,,
2019,2,Belgium,201,"Grants, Total",,,243,Guinea,10003,SouthSahara,10016,LDCs,7.083761088,7.349747494,,dac2a,,,
2019,5,Germany,201,"Grants, Total",,,666,Bangladesh,10009,SouthCentralAsia,10016,LDCs,119.0977882,123.2030213,,dac2a,,,
2019,6,Italy,201,"Grants, Total",,,289,"South of Sahara, regional",10003,SouthSahara,10024,UnallocatedIncome,11.19814225,11.73807258,,dac2a,,,
2019,12,United Kingdom,201,"Grants, Total",,,239,Gabon,10003,SouthSahara,10019,UMICs,0.0269305,0.027575719,,dac2a,,,
2018,2,Belgium,201,"Grants, Total",,,789,"Far East Asia, regional",10008,FarEastAsia,10024,UnallocatedIncome,1.736523262,1.736523262,,dac2a,,,
2018,18,Finland,201,"Grants, Total",,,235,Democratic Republic of the Congo,10003,SouthSahara,10016,LDCs,0.55521421,0.55521421,,dac2a,,,
2018,21,Ireland,201,"Grants, Total",,,764,Thailand,10008,FarEastAsia,10019,UMICs,0.326789602,0.326789602,,dac2a,,,
2018,50,Spain,201,"Grants, Total",,,233,Comoros,10003,SouthSahara,10016,LDCs,0.026151904,0.026151904,,dac2a,,,
2019,75,Hungary,201,"Grants, Total",,,753,Mongolia,10008,FarEastAsia,10018,LMICs,4.349224491,4.48192275,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,241,Ghana,10003,SouthSahara,10018,LMICs,43.37311692,43.47715907,,dac2a,,,
2019,302,United States,201,"Grants, Total",,,256,Mauritania,10003,SouthSahara,10016,LDCs,17.916816,17.60315956,,dac2a,,,
2019,4,France,204,ODA Gross Loans,,,230,Cabo Verde,10003,SouthSahara,10018,LMICs,3.620396283,3.761537952,,dac2a,,,
2019,5,Germany,204,ODA Gross Loans,,,351,Honduras,10005,CaribbeanCentralAmerica,10018,LMICs,1.1005741,1.138510264,,dac2a,,,
2019,701,Japan,204,ODA Gross Loans,,,238,Ethiopia,10003,SouthSahara,10016,LDCs,14.15239229,13.89445548,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,364,Nicaragua,10005,CaribbeanCentralAmerica,10018,LMICs,10.50728129,10.50728129,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,236,Benin,10003,SouthSahara,10016,LDCs,0.032014006,0.032014006,,dac2a,,,
2018,918,EU Institutions,201,"Grants, Total",,,271,Eritrea,10003,SouthSahara,10016,LDCs,9.257866163,9.257866163,,dac2a,,,
2019,701,Japan,201,"Grants, Total",,,233,Comoros,10003,SouthSahara,10016,LDCs,3.570184711,3.505115708,,dac2a,,,
2019,801,Australia,201,"Grants, Total",,,745,Lao People's Democratic Republic,10008,FarEastAsia,10016,LDCs,24.71783882,25.73096521,,dac2a,,,
2019,820,New Zealand,201,"Grants, Total",,,666,Bangladesh,10009,SouthCentralAsia,10016,LDCs,0.048915837,0.05031568,,dac2a,,,
2018,5,Germany,204,ODA Gross Loans,,,342,El Salvador,10005,CaribbeanCentralAmerica,10018,LMICs,2.72881525,2.72881525,,dac2a,,,
2018,701,Japan,204,ODA Gross Loans,,,248,Kenya,10003,SouthSahara,10018,LMICs,165.1440537,165.1440537,,dac2a,,,
2018,701,Japan,204,ODA Gross Loans,,,611,Azerbaijan,10009,SouthCentralAsia,10019,UMICs,41.30525447,41.30525447,,dac2a,,,
2019,20001,Total DAC Countries,204,ODA Gross Loans,,,617,Uzbekistan,10009,SouthCentralAsia,10018,LMICs,614.54148,617.0130425,,dac2a,,,
2019,20001,Total DAC Countries,204,ODA Gross Loans,,,630,Bhutan,10009,SouthCentralAsia,10016,LDCs,2.730254563,2.680493848,,dac2a,,,
2019,2,Belgium,201,"Grants, Total",,,745,Lao People's Democratic Republic,10008,FarEastAsia,10016,LDCs,0.042326206,0.043915503,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,63,Serbia,10010,Europe,10019,UMICs,6.443191735,7.012553659,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,189,"North of Sahara, regional",10002,NorthSahara,10024,UnallocatedIncome,4.38149251,4.768669411,,dac2a,,,
2018,2,Belgium,201,"Grants, Total",,,425,Argentina,10006,SouthAmerica,10019,UMICs,0.026909005,0.026909005,,dac2a,,,
2018,20001,Total DAC Countries,204,ODA Gross Loans,,,457,Suriname,10006,SouthAmerica,10019,UMICs,0.284028184,0.284028184,,dac2a,,,
2019,20001,Total DAC Countries,204,ODA Gross Loans,,,247,Côte d'Ivoire,10003,SouthSahara,10018,LMICs,217.6221884,224.973359,,dac2a,,,
2019,68,Czech Republic,201,"Grants, Total",,,240,Gambia,10003,SouthSahara,10016,LDCs,0.0164921,0.016874159,,dac2a,,,
2019,68,Czech Republic,201,"Grants, Total",,,738,Indonesia,10008,FarEastAsia,10018,LMICs,0.223077044,0.228244882,,dac2a,,,
2019,69,Slovak Republic,201,"Grants, Total",,,769,Viet Nam,10008,FarEastAsia,10018,LMICs,0.02472,0.025399929,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,589,"Middle East, regional",10011,MiddleEast,10024,UnallocatedIncome,22.13804489,22.19114897,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,764,Thailand,10008,FarEastAsia,10019,UMICs,0.87843946,0.880546635,,dac2a,,,
2019,2,Belgium,201,"Grants, Total",,,573,Syrian Arab Republic,10011,MiddleEast,10018,LMICs,16.50274376,17.12240123,,dac2a,,,
2018,76,Poland,201,"Grants, Total",,,282,Tanzania,10003,SouthSahara,10016,LDCs,1.110832417,1.110832417,,dac2a,,,
2018,302,United States,201,"Grants, Total",,,234,Congo,10003,SouthSahara,10018,LMICs,9.77428,9.77428,,dac2a,,,
2019,12,United Kingdom,201,"Grants, Total",,,666,Bangladesh,10009,SouthCentralAsia,10016,LDCs,334.0749907,342.0789821,,dac2a,,,
2019,22,Luxembourg,201,"Grants, Total",,,283,Togo,10003,SouthSahara,10016,LDCs,0.96191343,0.986030787,,dac2a,,,
2019,22,Luxembourg,201,"Grants, Total",,,769,Viet Nam,10008,FarEastAsia,10018,LMICs,3.681750391,3.774060244,,dac2a,,,
2019,40,Greece,201,"Grants, Total",,,550,West Bank and Gaza Strip,10011,MiddleEast,10018,LMICs,0.224527035,0.234876248,,dac2a,,,
2018,918,EU Institutions,204,ODA Gross Loans,,,336,Costa Rica,10005,CaribbeanCentralAmerica,10019,UMICs,27.84964003,27.84964003,,dac2a,,,
2018,918,EU Institutions,204,ODA Gross Loans,,,425,Argentina,10006,SouthAmerica,10019,UMICs,72.20819072,72.20819072,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,243,Guinea,10003,SouthSahara,10016,LDCs,17.97844598,17.97844598,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,831,Cook Islands,10012,Oceania,10019,UMICs,2.110589925,2.110589925,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,243,Guinea,10003,SouthSahara,10016,LDCs,0.065929559,0.065929559,,dac2a,,,
2018,20,Iceland,201,"Grants, Total",,,253,Malawi,10003,SouthSahara,10016,LDCs,9.189858981,9.189858981,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,589,"Middle East, regional",10011,MiddleEast,10024,UnallocatedIncome,1.653504,1.762127138,,dac2a,,,
2019,820,New Zealand,201,"Grants, Total",,,142,Egypt,10002,NorthSahara,10018,LMICs,0.236652668,0.24342505,,dac2a,,,
2018,18,Finland,204,ODA Gross Loans,,,248,Kenya,10003,SouthSahara,10018,LMICs,8.271287362,8.271287362,,dac2a,,,
2018,301,Canada,204,ODA Gross Loans,,,298,"Africa, regional",10001,Africa,10024,UnallocatedIncome,160.5200216,160.5200216,,dac2a,,,
2019,5,Germany,204,ODA Gross Loans,,,259,Mozambique,10003,SouthSahara,10016,LDCs,1.05461493,1.090966907,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,573,Syrian Arab Republic,10011,MiddleEast,10018,LMICs,57.69939045,57.69939045,,dac2a,,,
2018,20001,Total DAC Countries,204,ODA Gross Loans,,,630,Bhutan,10009,SouthCentralAsia,10016,LDCs,0.0475605,0.0475605,,dac2a,,,
2019,20001,Total DAC Countries,201,"Grants, Total",,,540,Iran,10011,MiddleEast,10019,UMICs,158.3822064,163.2506235,,dac2a,,,
2019,20001,Total DAC Countries,201,"Grants, Total",,,1029,"Southern Africa, regional",10003,SouthSahara,10024,UnallocatedIncome,0.765812123,0.792334362,,dac2a,,,
2019,302,United States,,,,,10005,Top 5 recipients,,,,,15.50414406,,,dac2a,,,
2019,2,Belgium,528,Total ODA,400,Multisector,,,,,,,164.3592294,167.8738967,,dac5,,,
2019,3,Denmark,528,Total ODA,910,Unspecified,,,,,,,111.1429767,113.3967522,,dac5,,,
2019,12,United Kingdom,201,"Grants, Total",,,89,"Europe, regional",10010,Europe,10024,UnallocatedIncome,96.74170193,99.05950413,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,133,Libya,10002,NorthSahara,10019,UMICs,54.35814681,54.35814681,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,451,Paraguay,10006,SouthAmerica,10019,UMICs,6.3352065,6.3352065,,dac2a,,,
2018,10,Sweden,201,"Grants, Total",,,273,Somalia,10003,SouthSahara,10016,LDCs,107.2619654,107.2619654,,dac2a,,,
2018,10,Sweden,201,"Grants, Total",,,665,Pakistan,10009,SouthCentralAsia,10018,LMICs,7.081062559,7.081062559,,dac2a,,,
2018,11,Switzerland,201,"Grants, Total",,,225,Angola,10003,SouthSahara,10016,LDCs,0.46198282,0.46198282,,dac2a,,,
2019,76,Poland,201,"Grants, Total",,,738,Indonesia,10008,FarEastAsia,10018,LMICs,1.191813724,1.230765546,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,66,North Macedonia,10010,Europe,10019,UMICs,0.050110489,0.050230693,,dac2a,,,
2019,7,Netherlands,201,"Grants, Total",,,86,Belarus,10010,Europe,10019,UMICs,0.841028915,0.862779872,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,288,Zambia,10003,SouthSahara,10016,LDCs,7.526919192,8.192046255,,dac2a,,,
2019,11,Switzerland,201,"Grants, Total",,,389,"Caribbean & Central America, regional",10005,CaribbeanCentralAmerica,10024,UnallocatedIncome,8.330892534,8.405928305,,dac2a,,,
2019,11,Switzerland,201,"Grants, Total",,,769,Viet Nam,10008,FarEastAsia,10018,LMICs,14.2543389,14.38272674,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,610,Armenia,10009,SouthCentralAsia,10018,LMICs,0.007646209,0.007646209,,dac2a,,,
2019,18,Finland,201,"Grants, Total",,,218,South Africa,10003,SouthSahara,10019,UMICs,0.369057707,0.381162951,,dac2a,,,
2019,18,Finland,201,"Grants, Total",,,615,Tajikistan,10009,SouthCentralAsia,10018,LMICs,1.086234121,1.121863044,,dac2a,,,
2019,22,Luxembourg,201,"Grants, Total",,,364,Nicaragua,10005,CaribbeanCentralAmerica,10018,LMICs,6.992849309,7.16817594,,dac2a,,,
2019,50,Spain,201,"Grants, Total",,,225,Angola,10003,SouthSahara,10016,LDCs,0.357299443,0.370921814,,dac2a,,,
2019,69,Slovak Republic,201,"Grants, Total",,,85,Ukraine,10010,Europe,10018,LMICs,1.42037,1.459437582,,dac2a,,,
2018,742,Korea,201,"Grants, Total",,,240,Gambia,10003,SouthSahara,10016,LDCs,1.79705,1.79705,,dac2a,,,
2018,742,Korea,201,"Grants, Total",,,751,Malaysia,10008,FarEastAsia,10019,UMICs,0.33888,0.33888,,dac2a,,,
2018,918,EU Institutions,201,"Grants, Total",,,769,Viet Nam,10008,FarEastAsia,10018,LMICs,67.06304733,67.06304733,,dac2a,,,
2018,22,Luxembourg,201,"Grants, Total",,,645,India,10009,SouthCentralAsia,10018,LMICs,1.46175862,1.46175862,,dac2a,,,
2018,68,Czech Republic,201,"Grants, Total",,,136,Morocco,10002,NorthSahara,10018,LMICs,0.017026438,0.017026438,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,283,Togo,10003,SouthSahara,10016,LDCs,1.822190861,1.822190861,,dac2a,,,
2019,801,Australia,201,"Grants, Total",,,645,India,10009,SouthCentralAsia,10018,LMICs,6.702496872,6.97721654,,dac2a,,,
2018,742,Korea,201,"Grants, Total",,,249,Lesotho,10003,SouthSahara,10016,LDCs,0.087086,0.087086,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,856,Niue,10012,Oceania,10019,UMICs,0.445909815,0.445909815,,dac2a,,,
2018,12,United Kingdom,201,"Grants, Total",,,765,Timor-Leste,10008,FarEastAsia,10016,LDCs,0.415176042,0.415176042,,dac2a,,,
2018,61,Slovenia,201,"Grants, Total",,,240,Gambia,10003,SouthSahara,10016,LDCs,0.007789449,0.007789449,,dac2a,,,
2018,76,Poland,201,"Grants, Total",,,241,Ghana,10003,SouthSahara,10018,LMICs,0.087722213,0.087722213,,dac2a,,,
2019,69,Slovak Republic,528,Total ODA,300,Production,,,,,,,0.878955,0.898256922,,dac5,,,
2018,3,Denmark,201,"Grants, Total",,,645,India,10009,SouthCentralAsia,10018,LMICs,0.803320838,0.803320838,,dac2a,,,
2018,4,France,201,"Grants, Total",,,288,Zambia,10003,SouthSahara,10016,LDCs,0.412342207,0.412342207,,dac2a,,,
2018,6,Italy,201,"Grants, Total",,,619,"Central Asia, regional",10009,SouthCentralAsia,10024,UnallocatedIncome,0.597486132,0.597486132,,dac2a,,,
2018,8,Norway,201,"Grants, Total",,,798,"Asia, regional",10007,Asia,10024,UnallocatedIncome,13.05058445,13.05058445,,dac2a,,,
2018,20001,Total DAC Countries,204,ODA Gross Loans,,,89,"Europe, regional",10010,Europe,10024,UnallocatedIncome,122.8418639,122.8418639,,dac2a,,,
2019,9,Portugal,528,Total ODA,930,Unspecified,,,,,,,8.841015176,9.016633294,,dac5,,,
2019,5,Germany,201,"Grants, Total",,,71,Albania,10010,Europe,10019,UMICs,43.65849813,45.16338175,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,738,Indonesia,10008,FarEastAsia,10018,LMICs,48.17445592,52.43146116,,dac2a,,,
2019,10,Sweden,201,"Grants, Total",,,260,Niger,10003,SouthSahara,10016,LDCs,5.882825816,6.226009631,,dac2a,,,
2018,1,Austria,201,"Grants, Total",,,66,North Macedonia,10010,Europe,10019,UMICs,2.328384822,2.328384822,,dac2a,,,
2018,2,Belgium,201,"Grants, Total",,,273,Somalia,10003,SouthSahara,10016,LDCs,0.032810103,0.032810103,,dac2a,,,
2018,2,Belgium,201,"Grants, Total",,,689,"South & Central Asia, regional",10009,SouthCentralAsia,10024,UnallocatedIncome,2.360439042,2.360439042,,dac2a,,,
2019,22,Luxembourg,201,"Grants, Total",,,85,Ukraine,10010,Europe,10018,LMICs,1.077442774,1.104456714,,dac2a,,,
2019,50,Spain,201,"Grants, Total",,,248,Kenya,10003,SouthSahara,10018,LMICs,0.656281091,0.681302413,,dac2a,,,
2019,68,Czech Republic,201,"Grants, Total",,,255,Mali,10003,SouthSahara,10016,LDCs,1.56343564,1.59965444,,dac2a,,,
2019,1,Austria,201,"Grants, Total",,,437,Colombia,10006,SouthAmerica,10019,UMICs,2.334631423,2.422095571,,dac2a,,,
2019,1,Austria,201,"Grants, Total",,,610,Armenia,10009,SouthCentralAsia,10018,LMICs,3.680736024,3.818630355,,dac2a,,,
2019,1,Austria,201,"Grants, Total",,,665,Pakistan,10009,SouthCentralAsia,10018,LMICs,2.273421415,2.358592404,,dac2a,,,
2018,76,Poland,201,"Grants, Total",,,612,Georgia,10009,SouthCentralAsia,10018,LMICs,2.374908945,2.374908945,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,233,Comoros,10003,SouthSahara,10016,LDCs,0.185323898,0.185323898,,dac2a,,,
2018,302,United States,201,"Grants, Total",,,65,Montenegro,10010,Europe,10019,UMICs,2.28941,2.28941,,dac2a,,,
2019,18,Finland,201,"Grants, Total",,,136,Morocco,10002,NorthSahara,10018,LMICs,0.161538461,0.166836989,,dac2a,,,
2019,18,Finland,201,"Grants, Total",,,253,Malawi,10003,SouthSahara,10016,LDCs,0.971592594,1.003461228,,dac2a,,,
2019,21,Ireland,201,"Grants, Total",,,244,Guinea-Bissau,10003,SouthSahara,10016,LDCs,0.247668197,0.258665146,,dac2a,,,
2019,701,Japan,201,"Grants, Total",,,86,Belarus,10010,Europe,10019,UMICs,0.385795871,0.378764484,,dac2a,,,
2019,701,Japan,201,"Grants, Total",,,268,Sao Tome and Principe,10003,SouthSahara,10016,LDCs,2.099222401,2.060962669,,dac2a,,,
2019,701,Japan,201,"Grants, Total",,,275,Namibia,10003,SouthSahara,10019,UMICs,3.783569442,3.714611359,,dac2a,,,
2019,918,EU Institutions,201,"Grants, Total",,,93,Moldova,10010,Europe,10018,LMICs,115.9941901,120.3865937,,dac2a,,,
2018,742,Korea,204,ODA Gross Loans,,,635,Myanmar,10009,SouthCentralAsia,10016,LDCs,4.381888,4.381888,,dac2a,,,
2018,742,Korea,201,"Grants, Total",,,861,Palau,10012,Oceania,10019,UMICs,0.607192,0.607192,,dac2a,,,
2019,20001,Total DAC Countries,201,"Grants, Total",,,831,Cook Islands,10012,Oceania,10019,UMICs,28.54754405,29.3832799,,dac2a,,,
2019,742,Korea,,,,,10010,Top 10 recipients,,,,,39.47482464,,,dac2a,,,
2019,6,Italy,528,Total ODA,110,"Education, Health & Population",,,,,,,186.4711677,191.8965476,,dac5,,,
2019,12,United Kingdom,528,Total ODA,300,Production,,,,,,,884.6581935,892.6218818,,dac5,,,
2019,69,Slovak Republic,528,Total ODA,400,Multisector,,,,,,,0.1546847,0.158869129,,dac5,,,
2018,5,Germany,201,"Grants, Total",,,549,Jordan,10011,MiddleEast,10018,LMICs,327.4238636,327.4238636,,dac2a,,,
2018,6,Italy,201,"Grants, Total",,,340,Dominican Republic,10005,CaribbeanCentralAmerica,10019,UMICs,0.101149534,0.101149534,,dac2a,,,
2018,9,Portugal,201,"Grants, Total",,,285,Uganda,10003,SouthSahara,10016,LDCs,0.045438452,0.045438452,,dac2a,,,
2018,11,Switzerland,201,"Grants, Total",,,239,Gabon,10003,SouthSahara,10019,UMICs,0.014316392,0.014316392,,dac2a,,,
2018,11,Switzerland,201,"Grants, Total",,,389,"Caribbean & Central America, regional",10005,CaribbeanCentralAmerica,10024,UnallocatedIncome,6.625526127,6.625526127,,dac2a,,,
2019,20001,Total DAC Countries,201,"Grants, Total",,,235,Democratic Republic of the Congo,10003,SouthSahara,10016,LDCs,1490.361364,1505.665292,,dac2a,,,
2019,2,Belgium,201,"Grants, Total",,,282,Tanzania,10003,SouthSahara,10016,LDCs,12.05526414,12.5079243,,dac2a,,,
2019,6,Italy,201,"Grants, Total",,,389,"Caribbean & Central America, regional",10005,CaribbeanCentralAmerica,10024,UnallocatedIncome,4.673023318,4.898338103,,dac2a,,,
2019,6,Italy,201,"Grants, Total",,,872,Tuvalu,10012,Oceania,10016,LDCs,0.125621852,0.131678843,,dac2a,,,
2019,9,Portugal,201,"Grants, Total",,,227,Botswana,10003,SouthSahara,10019,UMICs,0.034197918,0.035672299,,dac2a,,,
2019,12,United Kingdom,201,"Grants, Total",,,233,Comoros,10003,SouthSahara,10016,LDCs,0.162857325,0.16675917,,dac2a,,,
2018,2,Belgium,201,"Grants, Total",,,340,Dominican Republic,10005,CaribbeanCentralAmerica,10019,UMICs,0.429960958,0.429960958,,dac2a,,,
2018,302,United States,201,"Grants, Total",,,245,Equatorial Guinea,10003,SouthSahara,10019,UMICs,1.21974,1.21974,,dac2a,,,
2019,50,Spain,201,"Grants, Total",,,238,Ethiopia,10003,SouthSahara,10016,LDCs,7.261103767,7.537940042,,dac2a,,,
2019,50,Spain,201,"Grants, Total",,,364,Nicaragua,10005,CaribbeanCentralAmerica,10018,LMICs,18.23177286,18.92687601,,dac2a,,,
2019,69,Slovak Republic,201,"Grants, Total",,,613,Kazakhstan,10009,SouthCentralAsia,10019,UMICs,0.00666,0.006843185,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,437,Colombia,10006,SouthAmerica,10019,UMICs,45.83620146,45.94615198,,dac2a,,,
2019,1,Austria,201,"Grants, Total",,,617,Uzbekistan,10009,SouthCentralAsia,10018,LMICs,0.428817161,0.444882278,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,283,Togo,10003,SouthSahara,10016,LDCs,0.088182573,0.088182573,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,745,Lao People's Democratic Republic,10008,FarEastAsia,10016,LDCs,26.45166662,26.45166662,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,860,Micronesia,10012,Oceania,10018,LMICs,2.802837686,2.802837686,,dac2a,,,
2018,918,EU Institutions,201,"Grants, Total",,,880,Samoa,10012,Oceania,10019,UMICs,16.40404815,16.40404815,,dac2a,,,
2018,50,Spain,201,"Grants, Total",,,889,"Oceania, regional",10012,Oceania,10024,UnallocatedIncome,0.112120854,0.112120854,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,249,Lesotho,10003,SouthSahara,10016,LDCs,0.001218369,0.001218369,,dac2a,,,
2019,61,Slovenia,1160,Grant equivalents,1010,I. Official Development Assistance (ODA) (I.A + I.B),,,,,,,87.74,90.104776,78.378142,dac1,35.42284,0.165379,* Euro
2019,701,Japan,201,"Grants, Total",,,255,Mali,10003,SouthSahara,10016,LDCs,8.59049592,8.433928389,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,381,Grenada,10005,CaribbeanCentralAmerica,10019,UMICs,0.176933,0.188556206,,dac2a,,,
2019,918,EU Institutions,201,"Grants, Total",,,349,Haiti,10005,CaribbeanCentralAmerica,10016,LDCs,57.08139483,59.24292139,,dac2a,,,
2019,918,EU Institutions,204,ODA Gross Loans,,,614,Kyrgyzstan,10009,SouthCentralAsia,10018,LMICs,11.19444755,11.61835268,,dac2a,,,
2018,6,Italy,204,ODA Gross Loans,,,769,Viet Nam,10008,FarEastAsia,10018,LMICs,0.695443467,0.695443467,,dac2a,,,
2018,20001,Total DAC Countries,204,ODA Gross Loans,,,338,Cuba,10005,CaribbeanCentralAmerica,10019,UMICs,117.446005,117.446005,,dac2a,,,
2019,20001,Total DAC Countries,201,"Grants, Total",,,229,Cameroon,10003,SouthSahara,10018,LMICs,452.825145,463.7773736,,dac2a,,,
2019,4,France,528,Total ODA,130,"Education, Health & Population",,,,,,,46.20243517,47.15937017,,dac5,,,
2019,5,Germany,528,Total ODA,400,Multisector,,,,,,,2688.834801,2734.453227,,dac5,,,
2018,3,Denmark,201,"Grants, Total",,,364,Nicaragua,10005,CaribbeanCentralAmerica,10018,LMICs,0.013975364,0.013975364,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,283,Togo,10003,SouthSahara,10016,LDCs,30.42814319,30.42814319,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,831,Cook Islands,10012,Oceania,10019,UMICs,0.01245759,0.01245759,,dac2a,,,
2018,11,Switzerland,201,"Grants, Total",,,249,Lesotho,10003,SouthSahara,10016,LDCs,0.634000409,0.634000409,,dac2a,,,
2018,11,Switzerland,201,"Grants, Total",,,425,Argentina,10006,SouthAmerica,10019,UMICs,0.531830453,0.531830453,,dac2a,,,
2018,20001,Total DAC Countries,201,"Grants, Total",,,366,Panama,10005,CaribbeanCentralAmerica,10019,UMICs,23.79705494,23.79705494,,dac2a,,,
2019,1,Austria,201,"Grants, Total",,,832,Fiji,10012,Oceania,10019,UMICs,0.002476772,0.002569561,,dac2a,,,
2019,5,Germany,201,"Grants, Total",,,86,Belarus,10010,Europe,10019,UMICs,13.53409727,14.00060991,,dac2a,,,
